file_name,n_tokens
mm2src/coins/utxo_signer/Cargo.toml,202
mm2src/coins/utxo_signer/src/lib.rs,1449
mm2src/coins/utxo_signer/src/sign_common.rs,1019
mm2src/coins/utxo_signer/src/sign_params.rs,1768
mm2src/coins/utxo_signer/src/with_key_pair.rs,1924
mm2src/coins/utxo_signer/src/with_trezor.rs,2121
mm2src/coins/z_coin.rs,21241
mm2src/coins/z_coin/compact_formats.proto,488
mm2src/coins/z_coin/service.proto,1813
mm2src/coins/z_coin/z_coin_errors.rs,2479
mm2src/coins/z_coin/z_coin_native_tests.rs,6663
mm2src/coins/z_coin/z_htlc.rs,2279
mm2src/coins/z_coin/z_rpc.rs,7897
mm2src/coins_activation/Cargo.toml,457
mm2src/coins_activation/src/bch_with_tokens_activation.rs,2762
mm2src/coins_activation/src/context.rs,401
mm2src/coins_activation/src/erc20_token_activation.rs,924
mm2src/coins_activation/src/eth_with_token_activation.rs,2516
mm2src/coins_activation/src/l2/init_l2.rs,2392
mm2src/coins_activation/src/l2/init_l2_error.rs,991
mm2src/coins_activation/src/l2/mod.rs,95
mm2src/coins_activation/src/lib.rs,318
mm2src/coins_activation/src/lightning_activation.rs,4888
mm2src/coins_activation/src/platform_coin_with_tokens.rs,3177
mm2src/coins_activation/src/prelude.rs,798
mm2src/coins_activation/src/slp_token_activation.rs,951
mm2src/coins_activation/src/solana_with_tokens_activation.rs,2295
mm2src/coins_activation/src/spl_token_activation.rs,996
mm2src/coins_activation/src/standalone_coin/init_standalone_coin.rs,2510
mm2src/coins_activation/src/standalone_coin/init_standalone_coin_error.rs,958
mm2src/coins_activation/src/standalone_coin/mod.rs,108
mm2src/coins_activation/src/tendermint_token_activation.rs,712
mm2src/coins_activation/src/tendermint_with_assets_activation.rs,2053
mm2src/coins_activation/src/token.rs,1704
mm2src/coins_activation/src/utxo_activation/common_impl.rs,1203
mm2src/coins_activation/src/utxo_activation/init_qtum_activation.rs,933
mm2src/coins_activation/src/utxo_activation/init_utxo_standard_activation.rs,1290
mm2src/coins_activation/src/utxo_activation/init_utxo_standard_activation_error.rs,1813
mm2src/coins_activation/src/utxo_activation/init_utxo_standard_statuses.rs,256
mm2src/coins_activation/src/utxo_activation/mod.rs,82
mm2src/coins_activation/src/utxo_activation/utxo_standard_activation_result.rs,179
mm2src/coins_activation/src/z_coin_activation.rs,2538
mm2src/common/.vscode/launch.json,136
mm2src/common/Cargo.toml,1093
mm2src/common/build.rs,1104
mm2src/common/common.rs,9195
mm2src/common/crash_reports.rs,1207
mm2src/common/custom_futures/mod.rs,867
mm2src/common/custom_futures/repeatable.rs,5988
mm2src/common/custom_futures/timeout.rs,721
mm2src/common/custom_iter.rs,726
mm2src/common/executor/abort_on_drop.rs,103
mm2src/common/executor/abortable_system/abortable_queue.rs,3292
mm2src/common/executor/abortable_system/graceful_shutdown.rs,679
mm2src/common/executor/abortable_system/mod.rs,1179
mm2src/common/executor/abortable_system/simple_map.rs,2148
mm2src/common/executor/mod.rs,634
mm2src/common/executor/native_executor.rs,450
mm2src/common/executor/spawner.rs,234
mm2src/common/executor/wasm_executor.rs,1263
mm2src/common/fmt.rs,498
mm2src/common/jsonrpc_client.rs,4306
mm2src/common/log.rs,10978
mm2src/common/log/native_log.rs,721
mm2src/common/log/wasm_log.rs,1826
mm2src/common/number_type_casting.rs,868
mm2src/common/password_policy.rs,1100
mm2src/common/patterns/state_machine.rs,2478
mm2src/common/seh.c,266
mm2src/common/seri.rs,332
mm2src/common/shared_ref_counter/Cargo.toml,73
mm2src/common/shared_ref_counter/src/disable.rs,437
mm2src/common/shared_ref_counter/src/enable.rs,1574
mm2src/common/shared_ref_counter/src/lib.rs,356
mm2src/common/time_cache.rs,3288
mm2src/common/wasm.rs,1193
mm2src/common/wio.rs,1211
mm2src/crypto/Cargo.toml,560
mm2src/crypto/src/bip32_child.rs,2166
mm2src/crypto/src/crypto_ctx.rs,4254
mm2src/crypto/src/global_hd_ctx.rs,1248
mm2src/crypto/src/hw_client.rs,1694
mm2src/crypto/src/hw_ctx.rs,2111
mm2src/crypto/src/hw_error.rs,2002
mm2src/crypto/src/hw_rpc_task.rs,1726
mm2src/crypto/src/lib.rs,1016
mm2src/crypto/src/metamask_ctx.rs,1188
mm2src/crypto/src/metamask_login.rs,654
mm2src/crypto/src/privkey.rs,2046
mm2src/crypto/src/shared_db_id.rs,356
mm2src/crypto/src/standard_hd_path.rs,3055
mm2src/crypto/src/xpub.rs,1394
mm2src/db_common/Cargo.toml,156
mm2src/db_common/src/lib.rs,310
